epoch,loss,val_loss
0,0.030363514800744784,0.29092732444405556
1,0.055632943199393714,0.16591517999768257
2,0.01692840545375303,0.07026493083685637
3,0.00916338208874033,0.04603240266442299
4,0.0087985850876902,0.030129869934171438
5,0.007565888675319887,0.019969414919614792
6,0.006191603944800492,0.011710885912179947
7,0.00546867644093377,0.008189166997908615
8,0.004900982848060242,0.010179635952226818
9,0.004882867699740706,0.007077402144204825
10,0.004147481682987229,0.01035079883877188
11,0.00408282398082618,0.008272057166323066
12,0.004181243741186336,0.007379934540949762
13,0.003334154126335036,0.005369018123019487
14,0.0029269849733650887,0.007157714222557843
15,0.0028472250072612755,0.004053923767060041
16,0.002750999600991506,0.006980831967666745
17,0.003298036662886876,0.005116635991726071
18,0.002689585611192711,0.0024601921904832125
19,0.0023459045207002076,0.002378271223278716
0,0.002297797042096185,0.0023656359990127385
1,0.00212622427529454,0.001911320665385574
2,0.0020585966200530026,0.0025537717738188803
3,0.002287404570804053,0.0023567525495309383
4,0.0022706649355854636,0.0021630736882798374
5,0.0017072999680012061,0.0015988695377018303
6,0.0019966569151792274,0.0036042697029188275
7,0.0018999302992597222,0.0011897754739038646
8,0.0019617758886385206,0.0014609814679715782
9,0.0015803598767347834,0.0012304891424719244
10,0.0018230875697603601,0.002147273509763181
11,0.0017574614659581031,0.0011270616669207811
12,0.0017537727434427251,0.0014253473200369626
13,0.0016741500813451068,0.0012117893638787791
14,0.0016651571393201782,0.001225134779815562
15,0.0015599537212905045,0.0010670146002667025
16,0.001455507055554237,0.0010897005122387782
17,0.0015005660856872596,0.0013978407660033554
18,0.001346678742855737,0.000996269183815457
19,0.0015365162453727444,0.0011549874470802024
0,0.0015540290820550778,0.0010042815410997719
1,0.0012083890040820414,0.0013233732897788286
2,0.0015023826500337974,0.0011142764560645446
3,0.0014170653271690212,0.0009956248832168058
4,0.0014872098140217163,0.001158518818556331
5,0.0013329506084020879,0.0011214736005058512
6,0.0013319901709847556,0.0009833738731686026
7,0.0011703860466179715,0.0009474523540120572
8,0.00125278953645328,0.0010817377915373072
9,0.001088148170949992,0.0010700517159420997
10,0.0013310006336699164,0.0009896779956761748
11,0.0010709345460290442,0.0011942779819946736
12,0.0013070937876929402,0.0009190748241962865
13,0.0009889836278366478,0.0009610348351998255
14,0.001318729153796527,0.0009644134988775477
15,0.0012519618062101104,0.0008439017838099971
16,0.0011134041234146098,0.0008291853737318888
17,0.00113635921986094,0.0012646133836824447
18,0.0012984464874780562,0.0008218420698540285
19,0.000968848162793202,0.001075544729246758
20,0.001311246761139734,0.0007897994364611804
21,0.0009098553407081479,0.0008412011520704255
22,0.0011433893728158059,0.000870771415065974
23,0.0007853626353804626,0.0008955038356361911
24,0.0008508930544406679,0.0008944720320869237
25,0.0010924923848801267,0.0014705917856190354
26,0.00112579098424396,0.0007633772474946454
27,0.0008653204623024558,0.0007293048620340414
28,0.001009839990434262,0.0007732280646450818
29,0.001060898948265743,0.0008365333778783679
30,0.0010059709382256039,0.001167332608019933
31,0.00102241597267346,0.000954686664044857
32,0.0009487209498655755,0.0008328940166393295
33,0.0009552137603718989,0.0007430306432070211
34,0.0010158886619359004,0.0007270529749803245
35,0.0009924928159012485,0.0006821590504841879
36,0.000958454646516239,0.0007605029823025689
37,0.000885331816813984,0.001007410159218125
38,0.0009823490352671895,0.0006901474844198674
39,0.0008301143892379981,0.0008492976194247603
